absorbance_5.10_3A,5.10_3A,5.10_4A,5.9_1A_16,5.9_2A,5.9_2AA,5.9_3A,5.9_4A
648.9291,0.08586298,0.03528886,0.03436214,0.0510513,0.02134988,0.05547117,0.0207204
649.4113,0.0873083,0.03552504,0.03606896,0.05085694,0.02136613,0.0571037,0.02065316
649.8934,0.08876309,0.03527322,0.03735558,0.05092928,0.0214836,0.05848762,0.02078967
650.3755,0.09009036,0.03454087,0.03823111,0.05115085,0.02151936,0.05946064,0.02099055
650.8576,0.09110973,0.03351492,0.03883643,0.0514597,0.02138431,0.05995861,0.02104482
651.3397,0.09165712,0.03248619,0.03935841,0.051866,0.02110908,0.059986,0.02074964
651.8218,0.09163339,0.03177177,0.03995299,0.05241909,0.02081512,0.05956435,0.01996269
652.304,0.09105366,0.03160551,0.04067117,0.05314947,0.02065637,0.0587055,0.01867178
652.7861,0.09004492,0.0320536,0.04143824,0.05402389,0.02074222,0.057415,0.01701397
653.2682,0.08881572,0.03301544,0.04207373,0.05493131,0.02110529,0.05572573,0.01526502
653.7503,0.08758823,0.034259,0.0423511,0.0557178,0.02168672,0.05374106,0.01377222
654.2324,0.08652267,0.03552328,0.04208418,0.05625913,0.02237177,0.05163932,0.01283168
654.7145,0.0857033,0.03656854,0.0411637,0.05650617,0.02302606,0.04967179,0.0126268
655.1967,0.08513817,0.0372389,0.0395935,0.05652235,0.02354539,0.04809799,0.01314876
655.6788,0.08479939,0.03747839,0.03747497,0.05645468,0.02389042,0.04710091,0.01420588
656.1609,0.08466484,0.03730812,0.03498094,0.05649476,0.02409138,0.04675672,0.01545661
656.643,0.08474283,0.03680662,0.0323084,0.05680279,0.02424118,0.04701568,0.01651214
657.1251,0.08506046,0.03608143,0.02963325,0.05745031,0.02445671,0.04775433,0.01706055
657.6072,0.08563288,0.03527177,0.02711591,0.0584088,0.02485303,0.04883058,0.01691175
658.0894,0.08642618,0.03453209,0.02488889,0.05956034,0.02549391,0.05014651,0.01606748
658.5715,0.08734832,0.0340054,0.02305822,0.06074743,0.02636331,0.05166542,0.01470161
659.0536,0.08826003,0.03380482,0.02171414,0.06180351,0.02735632,0.05337811,0.01313342
659.5357,0.08902823,0.03395792,0.02091224,0.06260332,0.02830384,0.05524972,0.01173378
660.0178,0.08957613,0.03438963,0.02066096,0.06307953,0.02903021,0.05717874,0.01082272
660.4999,0.0899025,0.03492722,0.0209191,0.06321394,0.0294011,0.05897514,0.01062627
660.9821,0.09006782,0.03536604,0.02160582,0.06302857,0.02938593,0.06041365,0.01121232
661.4642,0.09014263,0.03554804,0.02262374,0.06256692,0.02906516,0.06131056,0.01250227
661.9463,0.09015798,0.03541858,0.02387267,0.06188891,0.02861349,0.06158567,0.01428996
662.4284,0.09007876,0.03506362,0.0252686,0.06106532,0.02822785,0.06131731,0.01630083
662.9105,0.08982749,0.03467343,0.02674066,0.06017699,0.02805767,0.06071853,0.0182514
663.3926,0.0893354,0.03448185,0.02821605,0.05931534,0.02815538,0.06008425,0.0198964
663.8748,0.0886092,0.03465808,0.02962067,0.05856365,0.02846047,0.05967313,0.02110747
664.3569,0.08775139,0.03526061,0.03087336,0.05798985,0.0288403,0.05964928,0.02187641
664.839,0.08694065,0.03622743,0.03188626,0.05764294,0.02914423,0.06006409,0.02229216
665.3211,0.08635383,0.03742084,0.03259132,0.05754641,0.02927166,0.06087747,0.02248564
