absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4
731.3711,0.119995,0.04915201,0.08821431,0.05573689
731.8532,0.1192719,0.04827348,0.08638281,0.05422482
732.3353,0.1186718,0.04792099,0.08514582,0.05297209
732.8174,0.1181373,0.0479551,0.08452811,0.05195181
733.2996,0.1175815,0.04813822,0.08442838,0.05113678
733.7817,0.1169093,0.04820249,0.08464804,0.05051799
734.2638,0.116054,0.04792847,0.08496079,0.05010356
734.7459,0.1149985,0.04716907,0.08514778,0.04990195
735.228,0.1137956,0.04589166,0.08506064,0.04989654
735.7101,0.1125511,0.04416747,0.08464319,0.0500351
736.1923,0.1113994,0.04214939,0.08391392,0.05022541
736.6744,0.1104489,0.04002346,0.08294056,0.05036317
737.1565,0.109742,0.03795821,0.08179602,0.05036829
737.6386,0.109238,0.03608645,0.08053182,0.05020618
738.1207,0.1088204,0.03447363,0.07915882,0.04990373
738.6028,0.1083373,0.033126,0.07765666,0.04952984
739.085,0.1076411,0.03201229,0.07600017,0.04916636
739.5671,0.1066498,0.03109179,0.07419579,0.04886228
740.0492,0.1053728,0.03033725,0.07230481,0.04861044
740.5313,0.1039155,0.02974068,0.07045836,0.04834369
741.0134,0.1024427,0.02930416,0.06882243,0.04796446
741.4955,0.1011343,0.0290179,0.06755813,0.04738153
741.9777,0.1001415,0.02884017,0.06677049,0.04654677
742.4598,0.09953569,0.02869967,0.06645847,0.04547665
742.9419,0.09930489,0.02850837,0.06650896,0.04424238
743.424,0.09935871,0.02819305,0.06671836,0.04294508
743.9061,0.0995685,0.02772821,0.06686925,0.0416707
744.3882,0.09979555,0.02714667,0.06678156,0.04047288
744.8704,0.09992486,0.02653034,0.06637349,0.03936321
745.3525,0.09989567,0.02596883,0.06568694,0.03832465
745.8346,0.09969975,0.02552494,0.06486996,0.03733567
746.3167,0.09937616,0.02520167,0.0641313,0.03639397
746.7988,0.09898473,0.02494619,0.06365731,0.03552507
747.2809,0.09858583,0.02467435,0.06357364,0.03477796
747.7631,0.09821522,0.02431971,0.06390184,0.03420829
748.2452,0.09787287,0.02387254,0.06456891,0.03385471
748.7273,0.09752585,0.02339014,0.06543117,0.03373284
749.2094,0.09712334,0.02297926,0.06632294,0.03382942
749.6915,0.09662227,0.02274391,0.06711027,0.03411344
750.1736,0.09600518,0.02274776,0.06770715,0.03454472
750.6558,0.09529765,0.0229764,0.06809594,0.03508521
751.1379,0.0945618,0.02334588,0.06831218,0.03570044
751.62,0.09388885,0.02372757,0.06842183,0.03634924
752.1021,0.09336791,0.02400213,0.06848785,0.03697639
752.5842,0.09305843,0.02410322,0.06854492,0.03750976
753.0663,0.0929787,0.02403009,0.06859115,0.03785618
753.5485,0.09309633,0.02384135,0.06858972,0.03792602
754.0306,0.09334275,0.0236195,0.06848934,0.03765402
754.5127,0.09362852,0.02343873,0.06824341,0.03701689
754.9948,0.09387442,0.02333329,0.0678349,0.03604997
755.4769,0.09402572,0.02329728,0.06728283,0.03484365
