absorbance_2.3_1_oilA,2.3_1_oilA,2.3_2_oilA,2.3_3_oilA
771.3868,0.06743405,0.04895626,0.03701047
771.8689,0.06761773,0.04887713,0.03710922
772.351,0.06796519,0.04879823,0.03696496
772.8331,0.06842015,0.04873523,0.03660085
773.3152,0.06890411,0.04870865,0.03608699
773.7974,0.06933187,0.04872919,0.03551596
774.2795,0.06963384,0.04878794,0.03497574
774.7616,0.06977879,0.04885837,0.03452244
775.2437,0.06977549,0.04890455,0.03417788
775.7258,0.06966853,0.0488992,0.03393383
776.2079,0.06951613,0.04884,0.03376519
776.6901,0.06937398,0.04875556,0.03364167
777.1722,0.06927729,0.04869911,0.03353838
777.6543,0.06923315,0.04872387,0.03344268
778.1364,0.06922782,0.04886223,0.03335229
778.6185,0.0692399,0.04910291,0.03327632
779.1006,0.06925617,0.04939093,0.0332306
779.5828,0.06928153,0.04963695,0.03323507
780.0649,0.06933968,0.04974993,0.03330532
780.547,0.0694619,0.04967354,0.03344401
781.0291,0.06967364,0.04940108,0.03363157
781.5112,0.06997846,0.04898162,0.03382315
781.9933,0.07035182,0.0484919,0.03395611
782.4755,0.07074063,0.04800972,0.03395586
782.9576,0.07107819,0.04757547,0.03375965
783.4397,0.07130229,0.04718058,0.03333478
783.9218,0.07136448,0.04677739,0.03268764
784.4039,0.07124533,0.04631149,0.03186543
784.886,0.07095347,0.04575954,0.03094205
785.3682,0.07052156,0.04515576,0.03000543
785.8503,0.06999543,0.04459171,0.02913053
786.3324,0.06942391,0.04418874,0.02836926
786.8145,0.06885665,0.04406282,0.02775019
787.2966,0.06833514,0.04427059,0.02727919
787.7787,0.06789137,0.04478937,0.02694959
788.2609,0.06754407,0.04551369,0.02674754
788.743,0.06729221,0.04629429,0.0266578
789.2251,0.06711382,0.046976,0.02666466
789.7072,0.06696737,0.04743898,0.02675191
790.1893,0.06680712,0.04763306,0.02690602
790.6714,0.06659415,0.04757381,0.02711555
791.1536,0.06631346,0.04732979,0.02737224
791.6357,0.06598172,0.04698716,0.02766986
792.1178,0.06564502,0.0466337,0.02800171
792.5999,0.0653662,0.04633817,0.02835863
793.082,0.06520122,0.04613971,0.0287303
793.5641,0.06518656,0.04605373,0.02911086
794.0463,0.06532848,0.04607045,0.02950603
794.5284,0.0656071,0.04615881,0.02993733
795.0105,0.06598504,0.0462656,0.03044306
795.4926,0.06642013,0.04632263,0.03106412
795.9747,0.06687455,0.04626481,0.03182355
796.4568,0.06730948,0.04604314,0.03270587
