absorbance_1,2.6_4A.CSV_1,absorbance_3,2.6_4A.CSV_2,absorbance_5,2.6_4A.CSV_3,absorbance_7,2.6_4A.CSV_4
612.2883,0.04824375,612.2883,0.06521782,612.2883,0.04881015,612.2883,0.08062867
612.7704,0.04814196,612.7704,0.06693175,612.7704,0.04885603,612.7704,0.08064044
613.2525,0.04713968,613.2525,0.06942709,613.2525,0.04976797,613.2525,0.07996178
613.7346,0.04524467,613.7346,0.07240918,613.7346,0.05145445,613.7346,0.07862736
614.2167,0.04253909,614.2167,0.07543904,614.2167,0.05369362,614.2167,0.07674805
614.6989,0.03920361,614.6989,0.07807053,614.6989,0.05619369,614.6989,0.07449315
615.181,0.03553318,615.181,0.07995993,615.181,0.05865366,615.181,0.07206692
615.6631,0.03196195,615.6631,0.08091918,615.6631,0.06079157,615.6631,0.06970622
616.1452,0.02897087,616.1452,0.08096321,616.1452,0.06241579,616.1452,0.06763086
616.6273,0.02699342,616.6273,0.08026209,616.6273,0.06343607,616.6273,0.06601541
617.1094,0.0263212,617.1094,0.07907164,617.1094,0.06385595,617.1094,0.06497118
617.5916,0.02699455,617.5916,0.07762532,617.5916,0.06374642,617.5916,0.06452197
618.0737,0.02880681,618.0737,0.07608142,618.0737,0.06320903,618.0737,0.06461358
618.5558,0.03134534,618.5558,0.0745105,618.5558,0.06235392,618.5558,0.06513169
619.0379,0.03413315,619.0379,0.07291419,619.0379,0.06127895,619.0379,0.06593862
619.52,0.03671457,619.52,0.07127701,619.52,0.06007905,619.52,0.06689101
620.0021,0.03873016,620.0021,0.06960075,620.0021,0.05885987,620.0021,0.06784928
620.4843,0.03998769,620.4843,0.06791574,620.4843,0.05773284,620.4843,0.06869472
620.9664,0.0404426,620.9664,0.0662725,620.9664,0.0568151,620.9664,0.06931297
621.4485,0.04018403,621.4485,0.06472378,621.4485,0.05620876,621.4485,0.06959129
621.9306,0.03938826,621.9306,0.0633058,621.9306,0.05596739,621.9306,0.06943645
622.4127,0.03829081,622.4127,0.06204893,622.4127,0.05608356,622.4127,0.06878126
622.8948,0.0371437,622.8948,0.06099316,622.8948,0.05647888,622.8948,0.06761569
623.377,0.03615603,623.377,0.06020167,623.377,0.05703091,623.377,0.06600244
623.8591,0.03548428,623.8591,0.05977084,623.8591,0.05758791,623.8591,0.06408636
624.3412,0.03518872,624.3412,0.05980666,624.3412,0.05801072,624.3412,0.06207412
624.8233,0.03523122,624.8233,0.06037318,624.8233,0.05821216,624.8233,0.06017478
625.3054,0.03549256,625.3054,0.06145503,625.3054,0.05816601,625.3054,0.05857058
625.7875,0.03582384,625.7875,0.06292525,625.7875,0.05791326,625.7875,0.05736762
626.2697,0.03611043,626.2697,0.06458065,626.2697,0.0575358,626.2697,0.0565903
626.7518,0.03630029,626.7518,0.06618127,626.7518,0.05712809,626.7518,0.05621514
627.2339,0.03641132,627.2339,0.06753787,627.2339,0.0567603,627.2339,0.05621106
627.716,0.03649243,627.716,0.06856513,627.716,0.05645646,627.716,0.0565691
628.1981,0.03657864,628.1981,0.06928726,628.1981,0.05619176,628.1981,0.05730565
628.6802,0.03665063,628.6802,0.06981692,628.6802,0.05590224,628.6802,0.05843155
629.1624,0.03663268,629.1624,0.07029784,629.1624,0.05551118,629.1624,0.05991283
629.6445,0.03641795,629.6445,0.07086503,629.6445,0.05494968,629.6445,0.06163077
630.1266,0.03592806,630.1266,0.0715925,630.1266,0.05418911,630.1266,0.06338532
630.6087,0.03515898,630.6087,0.07248187,630.6087,0.05325642,630.6087,0.06493455
631.0908,0.03419957,631.0908,0.07347029,631.0908,0.05223513,631.0908,0.06603173
631.5729,0.03320145,631.5729,0.0744593,631.5729,0.05124001,631.5729,0.06650957
632.0551,0.03231973,632.0551,0.0753433,632.0551,0.05038514,632.0551,0.06630958
632.5372,0.03166102,632.5372,0.07602619,632.5372,0.04975169,632.5372,0.06548624
633.0193,0.03123418,633.0193,0.07644271,633.0193,0.04935637,633.0193,0.06417991
633.5014,0.03095874,633.5014,0.07655855,633.5014,0.04915572,633.5014,0.06257881
633.9835,0.03070099,633.9835,0.07637234,633.9835,0.04907023,633.9835,0.06089245
634.4656,0.03034956,634.4656,0.07591453,634.4656,0.04903743,634.4656,0.05930875
634.9478,0.02986152,634.9478,0.07524402,634.9478,0.04905271,634.9478,0.05800148
635.4299,0.02928349,635.4299,0.07444288,635.4299,0.04918652,635.4299,0.05712994
635.912,0.02871836,635.912,0.07359585,635.912,0.04954892,635.912,0.05681407
636.3941,0.0282764,636.3941,0.07277745,636.3941,0.05023888,636.3941,0.0571238
636.8762,0.02802055,636.8762,0.07203618,636.8762,0.05127168,636.8762,0.0580387
637.3583,0.02794498,637.3583,0.0713847,637.3583,0.05254742,637.3583,0.05943218
637.8405,0.02799168,637.8405,0.07080577,637.8405,0.05385574,637.8405,0.06106272
638.3226,0.02809379,638.3226,0.0702633,638.3226,0.05493537,638.3226,0.06260817
638.8047,0.0282251,638.8047,0.06972077,638.8047,0.05558335,638.8047,0.06376512
639.2868,0.02842299,639.2868,0.06914701,639.2868,0.05571609,639.2868,0.06430054
639.7689,0.0287884,639.7689,0.06852217,639.7689,0.05542944,639.7689,0.06414657
640.251,0.02944265,640.251,0.06783324,640.251,0.05495841,640.251,0.06342018
640.7332,0.03049193,640.7332,0.06706606,640.7332,0.05462069,640.7332,0.06240067
641.2153,0.03197859,641.2153,0.06620631,641.2153,0.05468564,641.2153,0.06143725
641.6974,0.03386635,641.6974,0.06524837,641.6974,0.05527072,641.6974,0.06082202
642.1795,0.03604316,642.1795,0.06420871,642.1795,0.05631277,642.1795,0.060737
642.6616,0.03834271,642.6616,0.06314042,642.6616,0.05758331,642.6616,0.06119515
643.1437,0.04057861,643.1437,0.06212857,643.1437,0.05878684,643.1437,0.06207302
643.6259,0.04254066,643.6259,0.06128172,643.6259,0.0596264,643.6259,0.06315698
644.108,0.04403113,644.108,0.06069377,644.108,0.05990993,644.108,0.06423107
644.5901,0.0448977,644.5901,0.06040916,644.5901,0.0595833,644.5901,0.06515095
645.0722,0.04505242,645.0722,0.06040834,645.0722,0.05871572,645.0722,0.06586786
645.5543,0.04451886,645.5543,0.0606093,645.5543,0.05745428,645.5543,0.06643593
646.0364,0.0434415,646.0364,0.06090586,646.0364,0.05596148,646.0364,0.06696517
646.5186,0.04208963,646.5186,0.06120086,646.5186,0.05439467,646.5186,0.06757233
647.0007,0.04079214,647.0007,0.06145359,647.0007,0.05288249,647.0007,0.06831583
647.4828,0.03986725,647.4828,0.06168335,647.4828,0.05153941,647.4828,0.06916789
647.9649,0.03955571,647.9649,0.06195028,647.9649,0.05048656,647.9649,0.07000396
648.447,0.03992773,648.447,0.0623051,648.447,0.04983194,648.447,0.07064109
648.9291,0.04087369,648.9291,0.0627496,648.9291,0.04965052,648.9291,0.07088656
649.4113,0.04212464,649.4113,0.06321182,649.4113,0.04995496,649.4113,0.07059502
649.8934,0.04336235,649.8934,0.0635747,649.8934,0.0506804,649.8934,0.06973128
650.3755,0.04429676,650.3755,0.06372328,650.3755,0.05169757,650.3755,0.06838706
650.8576,0.0447378,650.8576,0.06360584,650.8576,0.0528457,650.8576,0.06677825
651.3397,0.04463223,651.3397,0.06327257,651.3397,0.05399297,651.3397,0.06517374
651.8218,0.04403513,651.8218,0.06287181,651.8218,0.05505561,651.8218,0.06384578
652.304,0.04306754,652.304,0.06260298,652.304,0.05600959,652.304,0.06299148
