absorbance_2.6_1A,2.6_1A,2.6_2A,2.6_3A,2.6_4A
695.2123,0.05681712,0.08107303,0.07539559,0.08372059
695.6945,0.0565002,0.08185498,0.07558551,0.08426318
696.1766,0.05637853,0.08262619,0.07592539,0.0846802
696.6587,0.05638519,0.08332991,0.07623531,0.08497898
697.1408,0.05646994,0.08390765,0.0763423,0.08518466
697.6229,0.05661445,0.08433232,0.07614516,0.08532618
698.105,0.05682597,0.08462505,0.07563565,0.08542944
698.5872,0.05712513,0.08485463,0.07490492,0.08551303
699.0693,0.05753319,0.08510543,0.07410187,0.08559026
699.5514,0.05806819,0.08545153,0.07339955,0.08567508
700.0335,0.05874658,0.08592679,0.07294209,0.08578348
700.5156,0.0595835,0.08652111,0.07280421,0.08592977
700.9977,0.06058785,0.08719631,0.07299533,0.08612228
701.4799,0.06174809,0.08791443,0.07346828,0.08635543
701.962,0.06301873,0.08865973,0.07415279,0.08661148
702.4441,0.06430241,0.08943909,0.07497686,0.0868659
702.9262,0.06545831,0.09026317,0.07589023,0.08710286
703.4083,0.06634103,0.0911189,0.07686958,0.08733089
703.8904,0.06682807,0.09194334,0.07791115,0.08759347
704.3726,0.06687885,0.09262723,0.07901652,0.0879641
704.8547,0.06655513,0.09305443,0.08017883,0.08852208
705.3368,0.0660255,0.09313872,0.08137325,0.08933252
705.8189,0.06552193,0.09288006,0.08255716,0.09041118
706.301,0.06527642,0.09237487,0.08368012,0.09171338
706.7831,0.06548318,0.09180897,0.08469146,0.09313352
707.2653,0.06623401,0.09139274,0.08555728,0.09453547
707.7474,0.06750502,0.09129357,0.08626765,0.0957943
708.2295,0.06916112,0.09159347,0.08684078,0.0968247
708.7116,0.0709967,0.09226172,0.0873186,0.09761269
709.1937,0.07278592,0.09318777,0.08775838,0.09821086
709.6758,0.07431428,0.09422868,0.08822816,0.09872139
710.158,0.07543935,0.09528055,0.08878969,0.09925465
710.6401,0.0761073,0.09631027,0.08949102,0.09990144
711.1222,0.07636353,0.09736021,0.09035961,0.1007122
711.6043,0.07633553,0.09851463,0.09139542,0.1016879
712.0864,0.07620767,0.0998572,0.09257127,0.1027932
712.5685,0.0761832,0.1014279,0.09383968,0.1039751
713.0507,0.07642472,0.1032007,0.09514906,0.1051867
713.5328,0.0770361,0.1050888,0.09645525,0.106397
714.0149,0.07804174,0.106965,0.09773817,0.1075962
714.497,0.07939303,0.1087049,0.09901081,0.1087911
714.9791,0.080989,0.1102049,0.1003178,0.1099979
715.4612,0.08270694,0.1114055,0.1017275,0.1112357
715.9434,0.08444253,0.1123004,0.1033055,0.1125212
716.4255,0.08611742,0.1129331,0.1051017,0.1138684
716.9076,0.08768865,0.1133948,0.1071295,0.1152866
717.3897,0.08914205,0.1138039,0.1093585,0.1167765
717.8718,0.09047635,0.1143057,0.1117072,0.1183252
718.3539,0.09169482,0.1150385,0.1140484,0.1198998
718.8361,0.09279819,0.1160952,0.1162327,0.1214506
719.3182,0.09378213,0.1174952,0.1180903,0.1229093
719.8003,0.09463504,0.1191572,0.1194711,0.1242042
720.2824,0.09533438,0.1209185,0.1202756,0.1252762
720.7645,0.09584413,0.1225536,0.1204713,0.1260844
721.2466,0.09611793,0.1238503,0.1201116,0.126614
721.7288,0.09611423,0.1246658,0.1193214,0.1268699
722.2109,0.09581065,0.1249443,0.1182865,0.1268671
