absorbance_2.9_1A,2.9_1A,2.9_2,2.9_3A,2.9_4A
716.9076,0.0705169,0.09629884,0.1018545,0.06610766
717.3897,0.07183118,0.09725753,0.1042725,0.06678306
717.8718,0.0729281,0.09840417,0.1062884,0.06748062
718.3539,0.07388452,0.09975699,0.1077577,0.06823172
718.8361,0.07478689,0.1012968,0.1086203,0.06905296
719.3182,0.07570257,0.1029613,0.1089038,0.06995223
719.8003,0.07664189,0.1046429,0.1087156,0.07092965
720.2824,0.07754927,0.1061998,0.1082038,0.07196689
720.7645,0.0783013,0.1074496,0.1075409,0.07300699
721.2466,0.0787449,0.1082084,0.1068743,0.073951
721.7288,0.07874623,0.1083312,0.1063025,0.07467325
722.2109,0.07822592,0.1077418,0.1058705,0.07503908
722.693,0.07719588,0.1064727,0.1055654,0.07494821
723.1751,0.07575322,0.1046602,0.105329,0.0743595
723.6572,0.0740639,0.102529,0.1050671,0.07330287
724.1393,0.07230747,0.1003217,0.104675,0.07187141
724.6215,0.07063612,0.09824257,0.1040569,0.07019684
725.1036,0.06915183,0.09642175,0.1031398,0.06842874
725.5857,0.06788651,0.0948828,0.1018978,0.06669391
726.0678,0.06681748,0.09356427,0.1003546,0.06508055
726.5499,0.06588852,0.0923547,0.09858182,0.06362933
727.032,0.06504041,0.09115227,0.096674,0.06232948
727.5142,0.06422791,0.08989756,0.09473021,0.06113014
727.9963,0.06342679,0.08859381,0.09283432,0.0599539
728.4784,0.0626282,0.08729263,0.09103832,0.05872518
728.9605,0.06182383,0.08606552,0.08937213,0.05738553
729.4426,0.06098963,0.08496775,0.08785436,0.05591386
729.9247,0.06008255,0.08401096,0.0865021,0.05433275
730.4069,0.05904082,0.08316265,0.08533827,0.05270431
730.889,0.05780158,0.08236315,0.08438551,0.0511115
731.3711,0.05632577,0.0815598,0.08365291,0.04962574
731.8532,0.05461512,0.08072864,0.08312424,0.04829288
732.3353,0.05272619,0.07988743,0.08275186,0.04712129
732.8174,0.05076063,0.07907985,0.08246784,0.04609346
733.2996,0.04886033,0.0783536,0.08219013,0.04518332
733.7817,0.04717408,0.07772899,0.08184353,0.04437433
734.2638,0.0458192,0.07718413,0.08137478,0.04366504
734.7459,0.04486647,0.07666015,0.0807507,0.04305737
735.228,0.04431546,0.07608684,0.07996134,0.0425368
735.7101,0.04409835,0.07541779,0.07901543,0.04205866
736.1923,0.04408994,0.07464889,0.07794029,0.04154342
736.6744,0.04413775,0.07382549,0.07678341,0.04090234
737.1565,0.04409609,0.07301995,0.07561032,0.04007348
737.6386,0.04383719,0.07230601,0.07450736,0.03905103
738.1207,0.0432837,0.07172016,0.07355992,0.03790279
738.6028,0.04241772,0.07124686,0.0728295,0.03674895
739.085,0.04128517,0.07082088,0.07233542,0.03573152
739.5671,0.03998834,0.07035829,0.07203868,0.03495152
740.0492,0.03866778,0.06979267,0.07185051,0.03443526
740.5313,0.03748791,0.06910405,0.07164951,0.03412318
741.0134,0.03659009,0.06833501,0.0713284,0.03389715
741.4955,0.03606641,0.06757542,0.07082184,0.03362623
741.9777,0.03593439,0.06693491,0.07012612,0.03321415
742.4598,0.03612649,0.06649204,0.06929321,0.03264014
742.9419,0.03650152,0.06626727,0.0684047,0.03195659
743.424,0.03687315,0.0662078,0.06753524,0.03126485
743.9061,0.03707173,0.06620788,0.06671787,0.03066268
744.3882,0.0369759,0.06613436,0.06593451,0.03021282
744.8704,0.03654837,0.06586672,0.06512669,0.02992078
745.3525,0.03583912,0.06533793,0.06422995,0.02974159
745.8346,0.03496493,0.06454314,0.06320524,0.02960313
746.3167,0.03406709,0.06354072,0.0620707,0.02943458
746.7988,0.03325612,0.06242362,0.06090349,0.02919316
747.2809,0.03259321,0.06129894,0.05983245,0.02886363
747.7631,0.0320778,0.0602566,0.05900319,0.02845383
748.2452,0.0316678,0.05934742,0.05852976,0.0279797
748.7273,0.03130502,0.05858336,0.05847329,0.02745868
749.2094,0.03094539,0.05793856,0.05881128,0.02690824
749.6915,0.03057387,0.05736523,0.05944454,0.02634961
750.1736,0.03020052,0.05680736,0.06020763,0.02581629
750.6558,0.02984665,0.05622113,0.06091277,0.02535179
751.1379,0.02952717,0.05558984,0.06140147,0.02499831
751.62,0.02923967,0.05492794,0.06156225,0.02478802
752.1021,0.02896632,0.05428036,0.06136435,0.02472572
752.5842,0.02868511,0.05370762,0.06085261,0.02478485
753.0663,0.02838335,0.05327596,0.06013422,0.02490593
753.5485,0.02806948,0.05303319,0.05934047,0.0250116
754.0306,0.02777221,0.05299617,0.0585905,0.02502403
754.5127,0.02753491,0.05314776,0.05796989,0.02487626
754.9948,0.02740002,0.05344225,0.05751006,0.02453354
