absorbance_6.10_1 (1),6.10_1 (1),6.10_2,6.10_3,6.10_4
731.3711,0.1120788,0.04941549,0.05134285,0.09444316
731.8532,0.1109293,0.0479231,0.05051017,0.09264723
732.3353,0.1098585,0.04664867,0.04961399,0.09114628
732.8174,0.1088255,0.04561943,0.04868567,0.09000058
733.2996,0.1078033,0.04487787,0.04774112,0.08921026
733.7817,0.1067899,0.04446303,0.04677834,0.08871584
734.2638,0.1058038,0.04438322,0.04578299,0.08842529
734.7459,0.1048758,0.04458945,0.04473567,0.08823217
735.228,0.1040312,0.04496898,0.04362036,0.08804534
735.7101,0.1032781,0.0453783,0.04243243,0.08780719
736.1923,0.1025993,0.04566705,0.04118259,0.0874838
736.6744,0.1019563,0.04573252,0.03990217,0.08706097
737.1565,0.1013017,0.04554294,0.03864153,0.08653438
737.6386,0.1005921,0.04513345,0.03747143,0.08590338
738.1207,0.09980807,0.04458032,0.03646458,0.08517348
738.6028,0.0989627,0.04396083,0.0356769,0.08436099
739.085,0.09810513,0.04332636,0.03513203,0.08349606
739.5671,0.09730515,0.04268207,0.03480602,0.08261867
740.0492,0.09663165,0.04200116,0.03463051,0.08176952
740.5313,0.09613185,0.04124746,0.03450187,0.08098527
741.0134,0.09580599,0.04040535,0.03431287,0.08028899
741.4955,0.09560245,0.03949479,0.03397578,0.07969494
741.9777,0.09542195,0.03857166,0.03343955,0.07921536
742.4598,0.09515412,0.0377045,0.03270248,0.07886512
742.9419,0.09470739,0.03695634,0.03180478,0.07866406
743.424,0.09404545,0.03636478,0.03081911,0.07862862
743.9061,0.09320246,0.03593203,0.02982829,0.07875743
744.3882,0.09227687,0.03563044,0.02891908,0.07901852
744.8704,0.0914002,0.0354095,0.02817332,0.07934298
745.3525,0.09068107,0.03521255,0.02765227,0.07964162
745.8346,0.09017192,0.03498059,0.02739514,0.0798189
746.3167,0.08983881,0.03466385,0.02740463,0.07980193
746.7988,0.08957747,0.03423285,0.02764418,0.07956046
747.2809,0.08924058,0.03368449,0.02803691,0.07910651
747.7631,0.08869542,0.03305168,0.02847977,0.07848372
748.2452,0.08787767,0.03239647,0.02887302,0.07774249
748.7273,0.08681083,0.0318068,0.02913228,0.07692742
749.2094,0.08561197,0.03136999,0.02921281,0.07606697
749.6915,0.08444765,0.03114189,0.02911216,0.07517738
750.1736,0.08350651,0.03113281,0.02885877,0.0742766
750.6558,0.08293722,0.0312988,0.02849093,0.07339445
751.1379,0.08281328,0.03156187,0.02803507,0.0725702
