absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5
1440.083,0.1087903,0.1106431,0.09068543,0.1002385,0.1123101
1440.565,0.1090071,0.1108106,0.09108792,0.1008374,0.1125596
1441.047,0.1092246,0.1109961,0.09159502,0.1014172,0.112827
1441.529,0.1094529,0.1112104,0.09219161,0.1019498,0.1131022
1442.011,0.1097056,0.1114525,0.09283429,0.1024049,0.1133682
1442.493,0.1099956,0.1117143,0.09346998,0.10276,0.1136092
1442.975,0.1103295,0.1119843,0.09404853,0.1030021,0.1138154
1443.458,0.1107034,0.1122552,0.09454153,0.1031351,0.1139884
1443.94,0.1111049,0.1125272,0.09494853,0.1031778,0.1141399
1444.422,0.1115195,0.11281,0.09529213,0.1031683,0.1142917
1444.904,0.1119406,0.1131193,0.09560746,0.1031601,0.114472
1445.386,0.1123765,0.1134734,0.09592975,0.1032178,0.114711
1445.868,0.1128525,0.11389,0.09628688,0.1034185,0.1150419
1446.35,0.1134038,0.1143807,0.09669209,0.1038333,0.1154963
1446.832,0.1140608,0.1149487,0.09714466,0.1045067,0.1160965
1447.314,0.1148308,0.1155854,0.09763509,0.1054271,0.1168477
1447.797,0.1156874,0.116276,0.09815675,0.1065143,0.1177315
1448.279,0.1165836,0.1170077,0.09871741,0.1076486,0.1187147
1448.761,0.1174805,0.1177811,0.0993457,0.1087203,0.1197681
1449.243,0.1183726,0.1186111,0.1000799,0.1096859,0.1208824
1449.725,0.1192877,0.11952,0.1009545,0.1105709,0.1220693
1450.207,0.1202732,0.1205309,0.1019911,0.1114499,0.1233514
1450.689,0.1213699,0.1216551,0.103188,0.1124071,0.1247438
1451.171,0.1225945,0.1228887,0.1045164,0.1135106,0.1262397
1451.653,0.1239269,0.1242049,0.1059127,0.1147899,0.1277992
1452.135,0.1253179,0.1255663,0.1072995,0.1162302,0.1293628
1452.618,0.1267051,0.126931,0.1086001,0.1177787,0.130867
1453.1,0.1280375,0.1282667,0.1097654,0.1193674,0.1322688
1453.582,0.1293036,0.1295655,0.1107964,0.1209547,0.1335696
1454.064,0.1305306,0.1308356,0.1117427,0.1225389,0.1348098
1454.546,0.1317739,0.1320894,0.1126966,0.1241618,0.1360552
1455.028,0.1330943,0.1333297,0.1137744,0.1258971,0.1373723
1455.51,0.1345249,0.1345347,0.1151029,0.1278036,0.1387949
1455.992,0.13601,0.1356428,0.1167649,0.1298242,0.1402618
1456.475,0.1373443,0.1365441,0.1186891,0.1316516,0.1415557
1456.957,0.1382394,0.1371487,0.1205711,0.1327722,0.1423726
1457.439,0.1386058,0.137509,0.1220314,0.1329292,0.1426201
1457.921,0.138659,0.1377917,0.122921,0.1324299,0.1425338
1458.403,0.1386809,0.1381328,0.1233687,0.1318027,0.1424282
1458.885,0.1387799,0.1385464,0.1235549,0.1313507,0.1424431
1459.367,0.1389312,0.138987,0.1235967,0.1311301,0.1425752
1459.849,0.1390845,0.1394154,0.1235655,0.1311078,0.1427882
1460.332,0.1392147,0.1398181,0.1235161,0.1312368,0.1430601
1460.814,0.1393268,0.1401995,0.1234967,0.131483,0.1433912
1461.296,0.1394452,0.1405696,0.1235538,0.1318283,0.1437973
1461.778,0.1395956,0.1409311,0.1237197,0.1322572,0.1442944
1462.26,0.1397921,0.1412758,0.1240051,0.1327515,0.1448885
1462.742,0.1400306,0.1415818,0.1243913,0.1332778,0.14556
1463.224,0.1402853,0.1418238,0.1248221,0.1337861,0.1462556
1463.706,0.1405135,0.1419866,0.1252053,0.1342123,0.146886
1464.188,0.1406602,0.142074,0.1254187,0.1344796,0.1473257
1464.671,0.1406772,0.1421011,0.1253569,0.1345299,0.1474614
1465.153,0.1405259,0.1420599,0.124968,0.1343349,0.1472345
1465.635,0.1401541,0.1418786,0.1242509,0.1338768,0.146642
1466.117,0.1394891,0.1414366,0.1232252,0.1331252,0.1457062
1466.599,0.1384456,0.1406107,0.1219053,0.1320325,0.1444418
1467.081,0.1369542,0.1393209,0.1203052,0.1305567,0.142861
1467.563,0.1350058,0.1375714,0.1184624,0.1287006,0.1409981
1468.045,0.1326544,0.1354389,0.1164436,0.1265164,0.1389203
1468.528,0.1300076,0.1330475,0.1143357,0.1240938,0.1367207
1469.01,0.1271664,0.1304992,0.1121962,0.1215021,0.1344661
1469.492,0.1242005,0.1278446,0.1100291,0.1187632,0.1321729
1469.974,0.1211076,0.1250369,0.1077423,0.1158104,0.1297618
1470.456,0.1177802,0.1219063,0.1051219,0.1124645,0.1270275
1470.938,0.114036,0.1181917,0.1018444,0.1084697,0.1236503
1471.42,0.1097097,0.1136647,0.09759967,0.1036277,0.1193087
1471.902,0.1048557,0.1083808,0.09237061,0.09805739,0.1139608
1472.385,0.09988363,0.1028577,0.08667085,0.09236705,0.1080914
1472.867,0.09540659,0.0978753,0.08136978,0.08740563,0.1025681
1473.349,0.09183697,0.09395338,0.07710701,0.08369315,0.09806062
1473.831,0.08917174,0.09109057,0.07396668,0.08116854,0.09468857
1474.313,0.08715091,0.08896288,0.07165264,0.07942656,0.09217694
1474.795,0.08550141,0.0872344,0.0698204,0.07806028,0.09018937
1475.277,0.08403811,0.08568196,0.06822277,0.07678975,0.08848469
1475.759,0.08269509,0.08423292,0.06676048,0.075509,0.08697019
1476.241,0.08148601,0.08291449,0.06543702,0.07424043,0.08565452
1476.724,0.08045112,0.08178733,0.06429397,0.07306501,0.08458248
1477.206,0.07961,0.08088496,0.06335242,0.07205438,0.0837724
1477.688,0.07894196,0.08018976,0.06259102,0.07122947,0.08319417
1478.17,0.07839996,0.07964855,0.06195802,0.07056709,0.08278318
1478.652,0.0779295,0.07919674,0.06139491,0.07001683,0.08246458
1479.134,0.07748929,0.07878186,0.06085927,0.06952783,0.08217613
1479.616,0.07706005,0.07837403,0.06033462,0.06906393,0.08187538
1480.098,0.0766457,0.07796636,0.05983128,0.06860819,0.08154371
1480.58,0.07626604,0.07756853,0.0593761,0.06816085,0.08118117
1481.063,0.0759463,0.07719676,0.05899553,0.06773227,0.08079956
1481.545,0.07570308,0.07686291,0.05869691,0.0673366,0.08041528
1482.027,0.07553773,0.07657059,0.05846194,0.06698541,0.0800427
1482.509,0.07543851,0.07631619,0.05825546,0.0666862,0.07969174
1482.991,0.07538866,0.07609437,0.05804407,0.06644153,0.07936779
1483.473,0.07537285,0.07590199,0.05780737,0.0662514,0.07907452
1483.955,0.07537909,0.07573831,0.0575405,0.06611414,0.07881642
1484.437,0.0753972,0.07560197,0.05724937,0.06602399,0.07859728
1484.919,0.07541429,0.07548824,0.05694611,0.06597024,0.07842172
1485.402,0.07541215,0.07538725,0.05664268,0.06593486,0.0782944
1485.884,0.07537088,0.07528643,0.05634704,0.06589749,0.07822052
1486.366,0.07527208,0.07517319,0.05606645,0.06583902,0.07820756
1486.848,0.07510883,0.07504078,0.05581006,0.06575151,0.07826608
1487.33,0.07489055,0.07489217,0.05559356,0.06564259,0.07840834
1487.812,0.07464232,0.07473617,0.05544145,0.06553066,0.07863639
1488.294,0.07439275,0.07457878,0.05538009,0.06542672,0.07892387
1488.776,0.07415698,0.07441526,0.05542257,0.06531532,0.07920176
1489.259,0.07392529,0.07423011,0.05554682,0.06514774,0.07935718
1489.741,0.07367285,0.07401767,0.0556891,0.06487826,0.07928895
1490.223,0.07339235,0.07380263,0.05577664,0.06451719,0.07898412
1490.705,0.07310297,0.07363062,0.05576561,0.06413525,0.07852586
1491.187,0.07283808,0.07353777,0.05566176,0.06381616,0.07803164
